"area_name","area_code","date","new_cases","total_cases"
"Wandsworth","E09000032",2020-09-12,6,1593
"Westminster","E09000033",2020-09-12,2,1064
"Barking and Dagenham","E09000002",2020-09-13,7,1011
"Barnet","E09000003",2020-09-13,5,2094
"Bexley","E09000004",2020-09-13,0,1241
"Brent","E09000005",2020-09-13,2,2075
"Bromley","E09000006",2020-09-13,6,1766
"Camden","E09000007",2020-09-13,3,931
"Croydon","E09000008",2020-09-13,4,2142
"Ealing","E09000009",2020-09-13,4,1993
"Enfield","E09000010",2020-09-13,4,1535
"Greenwich","E09000011",2020-09-13,1,1172
"Hackney and City of London","E09000012",2020-09-13,4,1327
"Hammersmith and Fulham","E09000013",2020-09-13,5,1029
"Haringey","E09000014",2020-09-13,3,1071
"Harrow","E09000015",2020-09-13,3,1579
"Havering","E09000016",2020-09-13,9,1288
"Hillingdon","E09000017",2020-09-13,5,1463
"Hounslow","E09000018",2020-09-13,6,1478
"Islington","E09000019",2020-09-13,1,766
"Kensington and Chelsea","E09000020",2020-09-13,0,793
"Kingston upon Thames","E09000021",2020-09-13,2,892
"Lambeth","E09000022",2020-09-13,2,1751
"Lewisham","E09000023",2020-09-13,3,1461
"Merton","E09000024",2020-09-13,7,1099
"Newham","E09000025",2020-09-13,0,1695
"Redbridge","E09000026",2020-09-13,10,1528
"Richmond upon Thames","E09000027",2020-09-13,2,744
"Southwark","E09000028",2020-09-13,1,1776
"Sutton","E09000029",2020-09-13,2,1143
"Tower Hamlets","E09000030",2020-09-13,2,1214
"Waltham Forest","E09000031",2020-09-13,3,1310
"Wandsworth","E09000032",2020-09-13,5,1598
"Westminster","E09000033",2020-09-13,1,1065
"Barking and Dagenham","E09000002",2020-09-14,8,1019
"Barnet","E09000003",2020-09-14,17,2111
"Bexley","E09000004",2020-09-14,7,1248
"Brent","E09000005",2020-09-14,8,2083
"Bromley","E09000006",2020-09-14,13,1779
"Camden","E09000007",2020-09-14,9,940
"Croydon","E09000008",2020-09-14,6,2148
"Ealing","E09000009",2020-09-14,15,2008
"Enfield","E09000010",2020-09-14,14,1549
"Greenwich","E09000011",2020-09-14,5,1177
"Hackney and City of London","E09000012",2020-09-14,15,1342
"Hammersmith and Fulham","E09000013",2020-09-14,6,1035
"Haringey","E09000014",2020-09-14,9,1080
"Harrow","E09000015",2020-09-14,14,1593
"Havering","E09000016",2020-09-14,5,1293
"Hillingdon","E09000017",2020-09-14,10,1473
"Hounslow","E09000018",2020-09-14,17,1495
"Islington","E09000019",2020-09-14,7,773
"Kensington and Chelsea","E09000020",2020-09-14,5,798
"Kingston upon Thames","E09000021",2020-09-14,1,893
"Lambeth","E09000022",2020-09-14,7,1758
"Lewisham","E09000023",2020-09-14,10,1471
"Merton","E09000024",2020-09-14,1,1100
"Newham","E09000025",2020-09-14,16,1711
"Redbridge","E09000026",2020-09-14,23,1551
"Richmond upon Thames","E09000027",2020-09-14,3,747
"Southwark","E09000028",2020-09-14,9,1785
"Sutton","E09000029",2020-09-14,5,1148
"Tower Hamlets","E09000030",2020-09-14,12,1226
"Waltham Forest","E09000031",2020-09-14,5,1315
"Wandsworth","E09000032",2020-09-14,9,1607
"Westminster","E09000033",2020-09-14,8,1073
"Barking and Dagenham","E09000002",2020-09-15,5,1024
"Barnet","E09000003",2020-09-15,10,2121
"Bexley","E09000004",2020-09-15,5,1253
"Brent","E09000005",2020-09-15,12,2095
"Bromley","E09000006",2020-09-15,3,1782
